1	"[D] Motorola Tech 1 | Installation / Techs / Evaluation [Business]"
2	"[D] Motorola Tech 2 | Installation / Techs / Evaluation [Business]"
3	"[E] Motorola Tech 3 | Installation / Techs / Evaluation [Business]"
4	"[D] Motorola Tech 4 | Installation / Techs / Evaluation [Business]"
5	"[D] Motorola Tech 5 | Installation / Techs / Evaluation [Business]"
6	"[D] Motorola Tech 6 | Installation / Techs / Evaluation [Business]"
8	"[D] Motorola Tech 8 | Installation / Techs / Evaluation [Business]"
9	"[D] Motorola Tech 9 | Installation / Techs / Evaluation [Business]"
14	"[D] Motorola Tech 14 | Installation / Techs / Evaluation [Business]"
16	"[D] Motorola Tech 16 | Installation / Techs / Evaluation [Business]"
17	"[D] Motorola Tech 17 | Installation / Techs / Evaluation [Business]"
18	"[D] Motorola Tech 18 | Installation /Techs / Evaluation [Business]"
19	"[D] Motorola Tech 19 | Installation / Techs / Evaluation [Business]"
20	"[D] Motorola Tech 20 | Installation / Techs / Evaluation [Business]"
29	"[D] Motorola Tech 29 | Installation / Techs / Evaluation [Business]"
30	"[D] Motorola Tech 30 | Installation / Techs / Evaluation [Business]"
31	"[D] Motorola Tech 31 | Installation / Techs / Evaluation [Business]"
32	"[D] Motorola Tech 32 | Installation / Techs / Evaluation [Business]"
33	"[D] Motorola Tech 33 | Installation / Techs / Evaluation [Business]"
38	"[D] Motorola Tech 38 | Installation / Techs / Evaluation [Business]"
40	"[D] Motorola Tech 40 | Installation / Techs / Evaluation [Business]"
42	"[D] Motorola Tech 42 | Installation / Techs / Evaluation [Business]"
45	"[D] Motorola Tech 45 | Installation / Techs / Evaluation [Business]"
48	"[D] Motorola Tech 48 | Installation / Techs / Evaluation [Business]"
51	"[D] Motorola Tech 51 | Installation / Techs / Evaluation [Business]"
400	"[D] MotorolaTech 400 | Installation / Techs / Evaluation [Business]"
401	"[D] MotorolaTech 401 | Installation / Techs / Evaluation [Business]"
419	"[D] MotorolaTech 419 | Installation / Techs / Evaluation [Business]"
449	"[D] MotorolaTech 449 | Installation / Techs / Evaluation [Business]"
722	"[D] MotorolaTech 722 | Installation / Techs / Evaluation [Business]"
750	"[D] MotorolaTech 750 | Installation / Techs / Evaluation [Business]"
786	"[D] MotorolaTech 786 | Installation / Techs / Evaluation [Business]"
898	"[D] MotorolaTech 898 | Installation / Techs / Evaluation [Business]"
899	"[D] MotorolaTech 899 | Installation / Techs / Evaluation [Business]"
954	"[D] MotorolaTech 954 | Installation / Techs / Evaluation [Business]"
1001	"[D] Plnfld Police | Plainfield Police: Dispatch 1 [Law Dispatch]"
1002	"[D] Pnfld Police 2 | Plainfield Police: Operations 2 [Law Tac]"
1003	"[D] Pnfld Police 3 | Plainfield Police: Operations 3 (possibly EMA?) [Law Tac]"
1004	"[D] Pnfld Police A | Plainfield Police: Operations [Law Tac]"
1005	"[D] Plnfld PD Tac1 | Plainfield Police: Tac 1 [Law Tac]"
1006	"[D] Plnfld PD Tac2 | Plainfield Police: Tac 2 [Law Tac]"
1007	"[D] Plnfld PD Tac | Plainfield Police: Tac [Law Tac]"
1026	"[D] Ogle Sheriff C4 | Sheriff Control 4 [Law Tac]"
1027	"[D] Ogle 1027 | Operations [Law Tac]"
1030	"[D] Ogle 1030 | Operations [Law Tac]"
1035	"[D] Ogle 1035 | Operations [Law Tac]"
1036	"[D] Ogle 1036 | Operations [Law Tac]"
1037	"[D] Ogle 1037 | Water Alarm Talk [Public Works]"
1042	"[D] Ogle 1042 | Operations [Law Tac]"
1043	"[D] Ogle 1043 | Operations [Emergency Ops]"
1044	"[D] Ogle 1044 | Operations [Emergency Ops]"
1047	"[D] Ogle 1047 | Operations [Emergency Ops]"
1051	"[D] ANLab Fire | Emergency Channel (Fire Dispatch / Operations) [Fire Dispatch]"
1052	"[D] ANLab Frgrnd | Fireground [Federal]"
1053	"[D] ANL Security | Protective Force: Dispatch (Security) [Security]"
1054	"[D] ANL Ops 1054 | Operations [Federal]"
1055	"[D] ANL Ops 1055 | Operations [Federal]"
1056	"[D] ANL Ops 1056 | Operations [Federal]"
1057	"[D] ANLab ANL 1 | Operations [ANL 1] [Federal]"
1058	"[D] ANLab ANL 2 | Operations [ANL 2] [Federal]"
1059	"[D] ANLab ANL 3 | Operations [ANL 3] [Federal]"
1060	"[D] ANL Ops 1060 | Protective Force: Tac/Alternate [Security]"
1061	"[D] ANL Ops 1061 | Protective Force: Tac/Alternate [Security]"
1062	"[D] ANLab ANL 4 | Operations [ANL 4] [Federal]"
1063	"[D] ANL Ops 1063 | Operations [Federal]"
1064	"[D] ANL Ops 1064 | Operations [Federal]"
1065	"[D] ANL Ops 1065 | Water Department? Operations [Federal]"
1066	"[D] ANL Ops 1066 | Operations [Federal]"
1067	"[D] ANL Ops 1067 | Electricians? [Federal]"
1068	"[D] ANL Ops 1068 | HVAC? Operations [Federal]"
1069	"[D] ANL Ops 1069 | Operations [Federal]"
1070	"[D] ANL Ops 1070 | Operations [Federal]"
1071	"[D] ANL Ops 1071 | Operations [Federal]"
1072	"[D] ANL Ops 1072 | Grounds Operations [Federal]"
1073	"[D] ANL Ops 1073 | Operations [Federal]"
1074	"[D] ANL Ops 1074 | Operations [Federal]"
1075	"[D] ANL Ops 1075 | Operations [Federal]"
1076	"[D] Lee Sheriff Disp | Sheriff: Dispatch [Law Dispatch]"
1077	"[E] Lee Sheriff Patr | Sheriff: Patrol (Encrypted) [Ch 2] [Law Tac]"
1079	"[E] Lee Sheriff TRT3 | Sheriff: Tactical Response Team (TRT) (Encrypted) [Ch 3] [Law Tac]"
1080	"[D] Lee Courts/Jail | Sheriff :Court Security, Court Room Duress Alarms / Jail [Corrections]"
1081	"[E] Lee Shrf 1081E | Sheriff (Encrypted) [Law Tac]"
1101	"[D] McHenrySheriff | Sheriff: Dispatch [Law Dispatch]"
1102	"[E] McHenry Shrf S/W | Sheriff: Statewide [Law Talk]"
1103	"[E] McHenry Shrf c2c | Sheriff"" Car-to-Car [Law Tac]"
